Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 0.8087	0.8900	1.6551	0.9305	6.6393	
Std: 0.0106	0.0117	0.0203	0.0233	0.1515	
==================================
Detailed results for 20 rounds:
0.7945	0.8736	1.6236	0.9243	6.4682	
0.8129	0.8935	1.6823	0.9133	6.6786	
0.8267	0.9108	1.6714	0.9701	6.8263	
0.7988	0.8796	1.6389	0.9280	6.6190	
0.8058	0.8866	1.6423	0.9280	6.6118	
0.8049	0.8839	1.6402	0.9382	6.5939	
0.8092	0.8903	1.6888	0.8944	6.4592	
0.8149	0.8953	1.6506	0.9556	6.7591	
0.8344	0.9189	1.6514	0.9851	7.0312	
0.8174	0.8987	1.6632	0.9337	6.8169	
0.8057	0.8878	1.6322	0.9414	6.7178	
0.8233	0.9057	1.6824	0.9498	6.8066	
0.8053	0.8870	1.6543	0.9222	6.5128	
0.8087	0.8922	1.6697	0.9232	6.6333	
0.7954	0.8739	1.6254	0.9310	6.4423	
0.8044	0.8835	1.6808	0.9073	6.4454	
0.8088	0.8911	1.6562	0.9433	6.7132	
0.7981	0.8787	1.6580	0.8881	6.5129	
0.7930	0.8749	1.6212	0.9010	6.5805	
0.8110	0.8941	1.6692	0.9311	6.5575	
