Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Avg: 0.6675	0.7346	1.3881	0.9034	4.9393	
Std: 0.0021	0.0026	0.0035	0.0062	0.0435	
==================================
Detailed results for 20 rounds:
0.6679	0.7345	1.3908	0.9115	4.9297	
0.6670	0.7331	1.3920	0.9019	4.9270	
0.6671	0.7350	1.3841	0.9100	4.9334	
0.6660	0.7333	1.3829	0.8918	4.9513	
0.6682	0.7353	1.3881	0.9067	4.9632	
0.6615	0.7263	1.3876	0.8895	4.8000	
0.6710	0.7382	1.3904	0.9118	5.0138	
0.6691	0.7351	1.3921	0.9036	4.9267	
0.6678	0.7354	1.3854	0.9048	4.9389	
0.6681	0.7346	1.3864	0.9031	4.9808	
0.6674	0.7354	1.3912	0.8992	4.9237	
0.6696	0.7366	1.3933	0.9004	4.9366	
0.6643	0.7317	1.3827	0.8970	4.9149	
0.6693	0.7383	1.3840	0.9048	4.9820	
0.6688	0.7348	1.3917	0.9093	4.9556	
0.6672	0.7327	1.3921	0.9035	4.9289	
0.6697	0.7379	1.3879	0.9057	4.9922	
0.6667	0.7341	1.3890	0.8982	4.8809	
0.6677	0.7366	1.3884	0.9137	4.9661	
0.6653	0.7335	1.3817	0.9025	4.9407	
