Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 28.8019	0.6056	63.2608	0.8474	5.7820	
Std: 0.1080	0.0020	0.1797	0.0045	0.0552	
==================================
Detailed results for 20 rounds:
28.8250	0.6050	63.2266	0.8403	5.7277	
28.9194	0.6083	63.3793	0.8499	5.8512	
28.7565	0.6031	63.2552	0.8459	5.7758	
28.6379	0.6028	63.1191	0.8431	5.7164	
28.7785	0.6044	63.3874	0.8431	5.8047	
28.7393	0.6052	62.9568	0.8447	5.8184	
28.6829	0.6044	62.9331	0.8427	5.7781	
28.8065	0.6062	63.2932	0.8462	5.7976	
28.7121	0.6050	63.0340	0.8482	5.7291	
28.9093	0.6085	63.2683	0.8538	5.8077	
28.9541	0.6081	63.2951	0.8547	5.8668	
28.9284	0.6062	63.4910	0.8539	5.8224	
28.6740	0.6043	63.2679	0.8417	5.7171	
28.7414	0.6042	63.2762	0.8499	5.7302	
28.7830	0.6054	63.5088	0.8475	5.7086	
28.6531	0.6027	63.2349	0.8407	5.6996	
28.9890	0.6094	63.4339	0.8522	5.8844	
28.9239	0.6065	63.6445	0.8483	5.7788	
28.9113	0.6085	63.1019	0.8493	5.8514	
28.7127	0.6043	63.1084	0.8530	5.7732	
