Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Avg: 0.6872	0.7563	1.4181	0.8849	5.1833	
Std: 0.0037	0.0044	0.0042	0.0110	0.0650	
==================================
Detailed results for 20 rounds:
0.6878	0.7563	1.4200	0.8959	5.1966	
0.6881	0.7563	1.4202	0.8778	5.1995	
0.6891	0.7593	1.4162	0.8958	5.1728	
0.6832	0.7523	1.4103	0.8730	5.1661	
0.6885	0.7576	1.4173	0.8927	5.1883	
0.6754	0.7416	1.4144	0.8564	4.9819	
0.6882	0.7571	1.4195	0.8825	5.2303	
0.6879	0.7557	1.4238	0.8752	5.1767	
0.6922	0.7623	1.4159	0.8983	5.2666	
0.6891	0.7577	1.4170	0.8856	5.2901	
0.6848	0.7546	1.4222	0.8779	5.1496	
0.6875	0.7563	1.4257	0.8737	5.1465	
0.6862	0.7558	1.4095	0.8806	5.1992	
0.6916	0.7630	1.4184	0.8998	5.2317	
0.6917	0.7599	1.4236	0.8952	5.2206	
0.6860	0.7534	1.4185	0.8951	5.1700	
0.6910	0.7613	1.4200	0.8911	5.2605	
0.6866	0.7560	1.4190	0.8761	5.1607	
0.6867	0.7576	1.4190	0.8930	5.1712	
0.6825	0.7524	1.4122	0.8813	5.0877	
