Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 0.6603	0.7267	1.3779	0.9108	4.8519	
Std: 0.0012	0.0018	0.0033	0.0040	0.0339	
==================================
Detailed results for 20 rounds:
0.6605	0.7264	1.3819	0.9117	4.8331	
0.6595	0.7249	1.3829	0.9093	4.8026	
0.6600	0.7272	1.3749	0.9124	4.8636	
0.6588	0.7254	1.3732	0.8997	4.8374	
0.6597	0.7259	1.3784	0.9106	4.8472	
0.6580	0.7226	1.3791	0.9090	4.7897	
0.6617	0.7279	1.3800	0.9150	4.8837	
0.6608	0.7260	1.3807	0.9082	4.8342	
0.6594	0.7262	1.3749	0.9063	4.8457	
0.6611	0.7269	1.3779	0.9092	4.8902	
0.6603	0.7276	1.3785	0.9145	4.8475	
0.6619	0.7281	1.3836	0.9103	4.8668	
0.6584	0.7251	1.3739	0.9064	4.8244	
0.6632	0.7316	1.3733	0.9196	4.9273	
0.6610	0.7262	1.3809	0.9141	4.8548	
0.6602	0.7251	1.3800	0.9143	4.8561	
0.6615	0.7288	1.3776	0.9099	4.8757	
0.6594	0.7260	1.3780	0.9093	4.7940	
0.6604	0.7286	1.3757	0.9139	4.9009	
0.6597	0.7273	1.3722	0.9120	4.8631	
