Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 28.4771	0.5988	62.2402	0.8591	5.7983	
Std: 0.0234	0.0008	0.1150	0.0030	0.0243	
==================================
Detailed results for 20 rounds:
28.4945	0.5981	62.2508	0.8591	5.7968	
28.4887	0.5992	62.3975	0.8597	5.8021	
28.5044	0.5978	62.2844	0.8572	5.7850	
28.4503	0.5989	62.2166	0.8590	5.7930	
28.4797	0.5981	62.2797	0.8577	5.7878	
28.4609	0.5993	62.0990	0.8587	5.8301	
28.4520	0.5995	62.0155	0.8638	5.7950	
28.4931	0.5996	62.2347	0.8617	5.8114	
28.4723	0.6000	62.1201	0.8658	5.8381	
28.4588	0.5990	62.1074	0.8581	5.8188	
28.4945	0.5985	62.3421	0.8578	5.7936	
28.5193	0.5977	62.4284	0.8532	5.7471	
28.4877	0.6003	62.2247	0.8606	5.8054	
28.4372	0.5978	62.1921	0.8611	5.7912	
28.4596	0.5986	62.3525	0.8581	5.7503	
28.4523	0.5985	62.3169	0.8518	5.7730	
28.4989	0.5991	62.2042	0.8599	5.8291	
28.5077	0.5978	62.4500	0.8586	5.7761	
28.4878	0.5996	62.1100	0.8590	5.8183	
28.4414	0.5986	62.1783	0.8610	5.8250	
